epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,55.1425,1.91818,1.69209,3.45191,2.00136,0,0.0939,0.49524,0.08175,0.02453,0.12859,0.66667,0.11742,0.04061,2.35534,1.63299,7.64466,2.81345,0,0.000664564,0.000664564,0.000664564
2,103.705,2.02731,1.51942,2.21471,2.03464,0,0.1984,0.30476,0.14918,0.04651,0.279,0.42857,0.23421,0.08772,2.3023,1.59766,4.32376,2.69264,0,0.00132244,0.00132244,0.00132244
3,153.419,1.99844,1.54203,2.08924,2.01663,0,0.25698,0.6,0.27872,0.09363,0.40257,0.6,0.40897,0.16482,2.15677,1.28007,2.04554,2.3466,0,0.00197152,0.00197152,0.00197152
4,203.778,2.01774,1.55835,2.0734,2.02532,0,0.26168,0.4381,0.23249,0.08552,0.31021,0.44762,0.30929,0.11528,2.09471,1.26577,2.65542,2.38708,0,0.0019604,0.0019604,0.0019604
5,252.134,1.91565,1.4343,1.96523,1.93894,0,0.5423,0.52381,0.52621,0.18334,0.62186,0.66667,0.66851,0.27423,1.99657,1.25482,1.88384,2.2405,0,0.0019472,0.0019472,0.0019472
6,301.603,1.89254,1.48387,1.97674,1.93521,0,0.47537,0.47464,0.46739,0.1722,0.58331,0.62663,0.6676,0.26521,1.965,1.17299,1.995,2.17766,0,0.001934,0.001934,0.001934
7,351.5,1.85971,1.45373,1.9291,1.89803,0,0.46821,0.52381,0.52625,0.21454,0.53857,0.65714,0.60656,0.29304,1.87096,1.13614,1.84385,2.14214,0,0.0019208,0.0019208,0.0019208
8,400.849,1.81171,1.38964,1.85411,1.86161,0,0.46309,0.60788,0.48368,0.19135,0.55606,0.65714,0.6561,0.27632,1.86274,1.05864,1.74855,2.16031,0,0.0019076,0.0019076,0.0019076
9,449.588,1.75954,1.33479,1.79821,1.80837,0,0.52769,0.70476,0.59336,0.24091,0.69528,0.72381,0.78728,0.34558,1.77201,1.06226,1.75681,2.0932,0,0.0018944,0.0018944,0.0018944
10,501.346,1.73209,1.29158,1.77375,1.7974,0,0.51464,0.66667,0.5683,0.21898,0.64279,0.72381,0.71667,0.30874,1.8236,1.02533,1.67034,2.08857,0,0.0018812,0.0018812,0.0018812
