epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,60.6437,1.19135,0.9383,1.05706,1.4219,0,0.84224,0.90476,0.93283,0.59491,0.86991,0.93333,0.96214,0.61552,1.04231,0.60361,0.85666,1.33904,0,0.000664745,0.000664745,0.000664745
2,120.818,1.21819,0.92036,1.09076,1.44011,0,0.8188,0.77465,0.89599,0.53597,0.90597,0.84762,0.94962,0.58443,1.10977,0.642,0.93272,1.40967,0,0.00131494,0.00131494,0.00131494
3,183.486,1.31485,0.96761,1.16752,1.519,0,0.82413,0.8381,0.88449,0.50265,0.83288,0.89524,0.93754,0.5918,1.17633,0.65671,0.9756,1.44663,0,0.00194863,0.00194863,0.00194863
4,237.619,1.32082,1.02473,1.20892,1.52673,0,0.77156,0.8381,0.84386,0.49959,0.82513,0.85385,0.89343,0.557,1.22529,0.65957,1.02581,1.48529,0,0.00192575,0.00192575,0.00192575
5,294.322,1.33612,1.00921,1.20789,1.51474,0,0.91352,0.75238,0.87072,0.50237,0.96565,0.80324,0.92639,0.54981,1.20697,0.71978,1.06778,1.49313,0,0.001901,0.001901,0.001901
6,353.36,1.33569,1.02817,1.21853,1.51831,0,0.78833,0.81582,0.8395,0.4711,0.85811,0.86397,0.90641,0.55644,1.19979,0.67201,1.03086,1.4792,0,0.00187625,0.00187625,0.00187625
7,415.297,1.32971,1.01884,1.19401,1.50113,0,0.83039,0.84762,0.84946,0.45945,0.88495,0.90476,0.94915,0.54104,1.33434,0.69475,1.0094,1.60454,0,0.0018515,0.0018515,0.0018515
8,469.919,1.33027,1.03915,1.21223,1.51162,0,0.83236,0.82857,0.8868,0.49541,0.85877,0.86864,0.9255,0.56499,1.2098,0.66936,1.01688,1.48279,0,0.00182675,0.00182675,0.00182675
9,523.133,1.32168,1.01138,1.18471,1.51451,0,0.71959,0.7821,0.80713,0.42822,0.77839,0.81905,0.83474,0.50858,1.24851,0.68795,1.11433,1.51788,0,0.001802,0.001802,0.001802
10,581.927,1.31481,0.98857,1.20512,1.48528,0,0.8402,0.75113,0.86247,0.4914,0.91725,0.84462,0.94125,0.55566,1.228,0.67473,0.99973,1.51412,0,0.00177725,0.00177725,0.00177725
11,645.918,1.30774,1.00328,1.1877,1.49829,0,0.78812,0.81479,0.86237,0.47893,0.84945,0.85982,0.92985,0.55739,1.19849,0.69015,1.02885,1.48591,0,0.0017525,0.0017525,0.0017525
12,704.745,1.32882,0.99417,1.15373,1.48678,0,0.8229,0.73333,0.85297,0.44514,0.81516,0.84002,0.89414,0.5148,1.29451,0.70382,1.02078,1.5371,0,0.00172775,0.00172775,0.00172775
13,761.285,1.28767,0.95746,1.13563,1.46981,0,0.72957,0.84762,0.85748,0.42354,0.79494,0.88608,0.90729,0.53343,1.22209,0.65026,1.17333,1.53137,0,0.001703,0.001703,0.001703
14,820.759,1.26943,0.96661,1.14687,1.466,0,0.81701,0.8381,0.8838,0.4936,0.85415,0.87619,0.91639,0.55644,1.21449,0.7007,1.03414,1.49706,0,0.00167825,0.00167825,0.00167825
15,875.587,1.25674,0.99005,1.1696,1.46299,0,0.79662,0.79048,0.8253,0.43633,0.85753,0.85989,0.91605,0.53413,1.31054,0.68024,1.11643,1.56388,0,0.0016535,0.0016535,0.0016535
16,932.609,1.25719,0.98532,1.12615,1.45134,0,0.83658,0.82884,0.89303,0.50576,0.92265,0.86667,0.92499,0.5484,1.21438,0.69176,0.93688,1.50638,0,0.00162875,0.00162875,0.00162875
17,986.163,1.27947,0.94786,1.15696,1.47279,0,0.82068,0.82815,0.88408,0.49184,0.84772,0.84828,0.91475,0.54939,1.18035,0.66527,1.00809,1.47109,0,0.001604,0.001604,0.001604
18,1042.49,1.2457,0.93515,1.15127,1.44476,0,0.86254,0.80952,0.86348,0.46304,0.92235,0.90498,0.95634,0.53799,1.23423,0.70112,1.00914,1.50153,0,0.00157925,0.00157925,0.00157925
19,1098.19,1.2352,0.95595,1.07132,1.44129,0,0.77801,0.81905,0.85317,0.47234,0.84325,0.8381,0.9172,0.5316,1.2512,0.6786,1.01498,1.51384,0,0.0015545,0.0015545,0.0015545
20,1154.96,1.24992,0.97768,1.11919,1.45773,0,0.81436,0.81905,0.87643,0.51341,0.84947,0.87619,0.93161,0.54883,1.22362,0.68324,0.97342,1.50943,0,0.00152975,0.00152975,0.00152975
21,1209.12,1.23512,0.92603,1.0749,1.44367,0,0.8036,0.84762,0.86924,0.48728,0.85661,0.86667,0.92469,0.54739,1.23235,0.66869,0.97235,1.53414,0,0.001505,0.001505,0.001505
